"","left","right","midpoint"
"var1_adj",1885.52855285529,1923.97239723972,1912.31123112311
"var2_ae",1890.08900890089,1927.83278327833,1916.95169516952
"var3_sh",1963.75637563756,1981.61816181618,1970.39703970397
"var4_n",1945.75457545755,1959.65596559656,1952.07520752075
"var5_sja_ek",1949.05490549055,1958.57585758576,1953.49534953495
"var6_sja_v",1832.30323032303,1916.79167916792,1897.8097809781
"var7_ot",1933.75337533753,1941.31413141314,1937.93379337934
"var8_tu",1948.65486548655,1997.1597159716,1959.63596359636
"var10_one",1951.35513551355,1965.73657365737,1957.53575357536
"var11_ei",1927.49274927493,1944.15441544154,1937.73377337734
"var12_kto",1954.39543954395,1969.17691769177,1960.15601560156
