speaker,speaker_ru,gender,year,lives.in,born
avm1922,авм1922,f,1922,Mikhalevskaya,Mikhalevskaya
ans1925,анс1925,f,1925,Mikhalevskaya,Kadyevskaya
avt1928,авт1928,f,1928,Plosskoe,Minia
egp1928,егп1928,f,1928,Mikhalevskaya,Fomin Pochinok
lpp1928,лпп1928,f,1928,Mikhalevskaya,Mikhalevskaya
pfp1928,пфп1928,f,1928,Mikhalevskaya,Bestuzhevo
sek1930,сек1930,m,1930,Plosskoe,Plosskoe
mdn1933,мдн1933,f,1933,Mikhalevskaya,Plosskoe
opsh1935,опш1935,f,1935,Plosskoe,Plosskoe
lso1941,лсо1941,f,1941,Mikhalevskaya,Lobanovo-Mikhalevskaya
lgp1947,лгп1947,f,1947,Mikhalevskaya,Mikhalevskaya
mgb1949,мгб1949,f,1949,Mikhalevskaya,Mikhalevskaya
gvp1949,гвп1949,f,1949,Mikhalevskaya,Mikhalevskaya
iip1951,иип1951,m,1951,Mikhalevskaya,Plosskoe
nvt1952,нвт1952,m,1952,Mikhalevskaya,Akichkin pochinok
njae1952,няе1952,m,1952,Plosskoe,Akichkin pochinok
ofsh1952,офш1952,f,1952,Mikhalevskaya,Mikhalevskaya
ffp1952,ффп1952,m,1952,Mikhalevskaya,Mikhalevskaya
ait1954,аит1954,f,1954,Mikhalevskaya,Mikhalevskaya
npo1954,нпо1954,m,1954,Mikhalevskaya,Mikhalevskaya
ppp1955,ппп1955,m,1955,Mikhalevskaya,Mikhalevskaya
ipm1956,ипм1956,m,1956,Mikhalevskaya,Mikhalevskaya
ndo1958,ндо1958,f,1958,Mikhalevskaya,Mikhalevskaya
nnt1960,ннт1960,f,1960,Mikhalevskaya,Mikhalevskaya
nfm1961,нфм1961,f,1961,Mikhalevskaya,Plosskoe
vap1963,вап1963,f,1963,Mikhalevskaya,Mikhalevskaya
npo1965,нпо1965,m,1965,Mikhalevskaya,Mikhalevskaya
vkch1966,вкч1966,m,1966,Mikhalevskaya,Mikhalevskaya
ent1968,ент1968,f,1968,Mikhalevskaya,Mikhalevskaya
juap1969,юап1969,m,1969,Mikhalevskaya,Mikhalevskaya
nap1974,нап1974,f,1974,Mikhalevskaya,Mikhalevskaya
svp1975,свп1975,m,1975,Mikhalevskaya,Mikhalevskaya
vsp1996,всп1996,f,1996,Mikhalevskaya,Mikhalevskaya
