"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",35,5,40
"ans1925",1925,"f",78,8,86
"avt1928",1928,"f",1,0,1
"egp1928",1928,"f",50,3,53
"lpp1928",1928,"f",4,1,5
"pfp1928",1928,"f",17,3,20
"sek1930",1930,"m",63,12,75
"mdn1933",1933,"f",30,3,33
"opsh1935",1935,"f",13,0,13
"lso1941",1941,"f",80,0,80
"lgp1947",1947,"f",44,6,50
"gvp1949",1949,"f",22,15,37
"mgb1949",1949,"f",16,4,20
"iip1951",1951,"m",12,8,20
"nvt1952",1952,"m",26,13,39
"njae1952",1952,"m",3,6,9
"ofsh1952",1952,"f",31,3,34
"ffp1952",1952,"m",21,4,25
"ait1954",1954,"f",24,10,34
"npo1954",1954,"m",2,0,2
"ppp1955",1955,"m",31,7,38
"ipm1956",1956,"m",16,2,18
"ndo1958",1958,"f",15,3,18
"nnt1960",1960,"f",12,18,30
"nfm1961",1961,"f",1,21,22
"vap1963",1963,"f",3,31,34
"npo1965",1965,"m",47,7,54
"vkch1966",1966,"m",12,6,18
"ent1968",1968,"f",1,7,8
"juap1969",1969,"m",0,4,4
"nap1974",1974,"f",2,22,24
"svp1975",1975,"m",2,26,28
"vsp1996",1996,"f",0,1,1
