speaker,year,gender,cons,inn,total
avm1922,1922,f,15,46,61
mik1922,1922,f,39,35,74
ans1925,1925,f,42,67,109
avt1928,1928,f,4,44,48
egp1928,1928,f,5,94,99
lpp1928,1928,f,0,21,21
pfp1928,1928,f,23,42,65
anp1929,1929,m,0,10,10
sek1930,1930,m,0,66,66
mdn1933,1933,f,18,31,49
opsh1935,1935,f,30,52,82
zvk1941,1941,f,0,7,7
lso1941,1941,f,17,127,144
lgp1947,1947,f,14,61,75
mgb1949,1949,f,3,83,86
gvp1949,1949,f,0,51,51
eve1950,1950,f,2,31,33
iip1951,1951,m,1,48,49
nvt1952,1952,m,0,35,35
njae1952,1952,m,1,18,19
ofsh1952,1952,f,12,47,59
ffp1952,1952,m,0,10,10
ait1954,1954,f,4,53,57
npo1954,1954,m,0,20,20
ppp1955,1955,m,3,33,36
ipm1956,1956,m,0,28,28
ndo1958,1958,f,2,41,43
nnt1960,1960,f,1,41,42
nfm1961,1961,f,2,97,99
vap1963,1963,f,1,53,54
npo1965,1965,m,0,52,52
vkch1966,1966,m,0,36,36
ent1968,1968,f,0,17,17
juap1969,1969,m,2,10,12
nap1974,1974,f,2,22,24
svp1975,1975,m,0,36,36
vsp1996,1996,f,0,9,9
